time,x,y,z,u_nom_x,u_nom_y,u_nom_z,u_safe_x,u_safe_y,u_safe_z,active_index,poisson_h,pivot_value,reachable_count,V1,V2,V3,V4,poisson_residual,active_hj_residual,omega_active,omega_contingency,qp_solve_ms,qp_success
3.36,5.70710581920912,5.13318585819207,7.510499058731338,1.4498644782715437,0.7852966350808022,-0.4137658632332473,1.1663097725335478,1.0762247921246622,-0.13006864400619483,0,0.15236691809410718,11.629030464370912,4,9.234641142270078,10.931503942022765,11.629030464370912,13.528744973379284,4.214091992027491e-10,48.9064858562483,0.0,0.0,0.39572999958181754,1
3.48,5.8470629919131465,5.26233283324703,7.4948908214505945,1.454308258086781,0.7726490663971992,-0.421901541424216,1.2461460434668727,1.0118948321829782,-0.19633785404009413,0,0.1654219369707699,10.376189012635157,4,7.983392599687253,9.508717090188112,10.376189012635157,12.074994255005388,-3.700018763597157e-10,47.56577698353837,0.0,0.0,0.4082469968125224,1
3.5999999999999996,5.996600517129171,5.383760213108988,7.471330278965783,1.457796183667512,0.7622706102013015,-0.42868846929649584,1.2822156565618166,0.9964260915315061,-0.21837811317529524,0,0.15031931890870465,10.25591514603249,4,7.92338176285422,9.400421106442323,10.25591514603249,11.958056439863007,-1.3101164181295033e-09,47.45087188983476,0.0,0.0,0.4124990009586327,1
3.7199999999999998,6.150466395916589,5.503331344092769,7.4451249053847475,1.461047374070326,0.7521859794033526,-0.43538123881401153,1.2098507581164304,1.146279873758451,-0.10240075462895798,0,0.10547731178648788,11.724207414280903,4,9.531623416260285,11.134519732392793,11.724207414280903,13.712787462773216,-9.966923536497418e-10,49.05467506144633,0.0,0.0,0.6078590013203211,1
3.84,6.295648486890561,5.640884928943783,7.4328368148292725,1.4662560311282586,0.7352908666417671,-0.4465877210730342,1.4274546007546343,0.825645132850022,-0.3823938968526187,0,0.1332999085778389,12.121394127050747,4,10.01672389512554,11.567287138822476,12.121394127050747,14.127667542552262,-3.238613544009894e-10,49.17616586322752,0.0,0.0,0.40299399552168325,1
3.96,6.466943038981117,5.739962344885786,7.386949547206958,1.467381130558914,0.7315894412943376,-0.4489649285481905,1.467381130558914,0.7315894412943376,-0.4489649285481905,0,0.18364492297755716,12.278144775891683,4,10.236912966670033,11.724891767301093,12.278144775891683,14.239055360090507,0.17079466616612715,49.1710087470028,0.0,0.0,0.258912994468119,1
4.08,6.643028774648187,5.827753077841106,7.333073755781175,1.4673811305589142,0.7315894412943377,-0.4489649285481905,1.4673811305589142,0.7315894412943377,-0.4489649285481905,0,0.23733870121929493,12.428213811098487,4,10.461364875446822,11.894005976181319,12.428213811098487,14.354777536792204,0.4096160428466315,49.24754568260259,0.0,0.0,0.25458799791522324,1
4.2,6.819114510315257,5.915543810796427,7.279197964355392,1.4673811305589142,0.7315894412943378,-0.44896492854819037,1.4673811305589142,0.7315894412943378,-0.44896492854819037,0,0.29484564048787326,12.576373932260495,4,10.68648332357725,12.06312018506155,12.576373932260495,14.479345775127653,0.6277422447639545,49.34181383338407,0.0,0.0,0.27320800290908664,1
4.32,6.995200245982327,6.003334543751747,7.225322172929609,1.4673811305589142,0.7315894412943378,-0.4489649285481902,1.4673811305589142,0.7315894412943378,-0.4489649285481902,0,0.35327595229902514,12.785746364521106,4,10.91160177170768,12.232234393941775,12.785746364521106,14.64091266855269,0.7980313006911262,49.436330571964554,0.0,0.0,0.2671190013643354,1
4.4399999999999995,7.171285981649397,6.091125276707068,7.171446381503825,1.4673811305589142,0.7315894412943379,-0.44896492854819015,1.4673811305589142,0.7315894412943379,-0.44896492854819015,0,0.4046983070629027,12.995536063287883,4,11.137899007437394,12.401348602822003,12.995536063287883,14.792966397049952,0.9300358592518628,49.50009866406391,0.0,0.0,0.25130799622274935,1
