step,time_s,x_m,y_m,distance_to_goal_m,h,clearance_to_inflated_occupancy_m,u_nom_x,u_nom_y,u_nom_norm,collision
23,0.46,0.7107132266273201,3.6028166061788203,5.79073363606513,0.05884369596944938,0.23337479616827875,0.6754635361463466,-0.42865955178518206,0.8,False
24,0.48,0.724222497350247,3.594243415143117,5.77473363606513,0.05457393123938472,0.21789294715006402,0.6754635361463466,-0.42865955178518217,0.8,False
25,0.5,0.737731768073174,3.585670224107413,5.75873363606513,0.050283749017228666,0.2032295608256206,0.6754635361463467,-0.42865955178518217,0.8000000000000002,False
26,0.52,0.7512410387961009,3.577097033071709,5.74273363606513,0.045973149302981256,0.18938463719494864,0.6754635361463466,-0.42865955178518206,0.8,False
27,0.54,0.7647503095190279,3.5685238420360057,5.726733636065131,0.04128744544193269,0.17608423950675012,0.6754635361463467,-0.4286595517851821,0.8000000000000002,False
28,0.56,0.7782595802419549,3.5599506510003023,5.71073363606513,0.036291695858562185,0.1631784268391376,0.6754635361463466,-0.4286595517851821,0.8,False
29,0.58,0.7917688509648818,3.5513774599645984,5.69473363606513,0.03134798658067542,0.15088144443239832,0.6754635361463467,-0.4286595517851821,0.8000000000000002,False
30,0.6,0.8052781216878088,3.5428042689288946,5.67873363606513,0.026241505256591482,0.13566911811107535,0.6754635361463466,-0.42865955178518206,0.8,False
31,0.62,0.8187873924107357,3.534231077893191,5.66273363606513,0.021051200745540406,0.1194406282512027,0.6754635361463466,-0.42865955178518206,0.8,False
32,0.64,0.8322966631336627,3.5256578868574877,5.64673363606513,0.01600221050706249,0.10377833259620198,0.6754635361463466,-0.42865955178518217,0.8,False
33,0.66,0.8458059338565896,3.517084695821784,5.63073363606513,0.011319046917156975,0.09017777382524611,0.6754635361463465,-0.428659551785182,0.7999999999999998,False
34,0.68,0.8593152045795166,3.5085115047860804,5.61473363606513,0.007001007051470408,0.07870897388804009,0.6754635361463466,-0.42865955178518217,0.8,False
35,0.7000000000000001,0.8728244753024436,3.4999383137503766,5.59873363606513,0.0030480909100027115,0.06937193278458358,0.6754635361463467,-0.4286595517851821,0.8000000000000002,False
36,0.72,0.8863337460253705,3.491365122714673,5.58273363606513,0.0,0.06103467502726107,0.6754635361463465,-0.4286595517851821,0.7999999999999999,False
37,0.74,0.8998430167482975,3.4827919316789693,5.56673363606513,0.0,0.04518321666040736,0.6754635361463466,-0.42865955178518217,0.8,False
38,0.76,0.9133522874712244,3.4742187406432654,5.55073363606513,0.0,0.027738498351838434,0.6754635361463467,-0.4286595517851821,0.8000000000000002,False
39,0.78,0.9268615581941514,3.4656455496075615,5.53473363606513,,0.013948467449895906,0.0,0.0,0.0,True
